FID,Name,X,Y,Depth,Cls,DEM,WaterSys_Dis,Slope,Plan_Cur,Prof_Cur,Comp_Cur,Aspect,Faults_Dis,Eq_Dis
0,H13,12161220.000000000000000,4434999.345999999903142,0,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
1,H13,12161220.000000000000000,4434999.345999999903142,1,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
2,H13,12161220.000000000000000,4434999.345999999903142,2,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
3,H13,12161220.000000000000000,4434999.345999999903142,3,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
4,H13,12161220.000000000000000,4434999.345999999903142,4,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
5,H13,12161220.000000000000000,4434999.345999999903142,5,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
6,H13,12161220.000000000000000,4434999.345999999903142,6,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
7,H13,12161220.000000000000000,4434999.345999999903142,7,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
8,H13,12161220.000000000000000,4434999.345999999903142,8,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
9,H13,12161220.000000000000000,4434999.345999999903142,9,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
10,H13,12161220.000000000000000,4434999.345999999903142,10,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
11,H13,12161220.000000000000000,4434999.345999999903142,11,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
12,H13,12161220.000000000000000,4434999.345999999903142,12,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
13,H13,12161220.000000000000000,4434999.345999999903142,13,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
14,H13,12161220.000000000000000,4434999.345999999903142,14,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
15,H13,12161220.000000000000000,4434999.345999999903142,15,0,1508.189941,4844.569824,9.6047401,-0.157801,0.178641,-0.336442,176.1569977,35529.30078,26854.40039
