FID,Id,X,Y,DEM,Eq_Dis,Faults_Dis,Aspect,Comp_Cur,WaterSys_Dis,Plan_Cur,Prof_Cur,Slope
0,0,12158145.55,4432541.92,1497,29642.19922,38621.89844,16.3894997,0.222222,6542.479981,-0.1,-0.322222,8.3999901
1,0,12158175.55,4432541.92,1496,29637.59961,38615.30078,8.6156502,0.111111,6543.370117,0.0405229,-0.0705882,7.9173002
2,0,12158205.55,4432541.92,1495,29633,38608.60156,23.7495003,0.111111,6544.399902,0.2,0.0888889,6.4925699
3,0,12158235.55,4432541.92,1493,29628.40039,38602,48.0127983,0.111111,6545.569824,0.097561,-0.0135501,6.3969202
4,0,12158265.55,4432541.92,1490,29623.80078,38595.39844,48.0127983,-0.111111,6546.879883,-0.097561,0.0135501,6.3969202
5,0,12158295.55,4432541.92,1488,29619.19922,38588.5,18.4349003,-0.222222,6548.319824,-0.266667,-0.0444444,6.0172801
6,0,12158325.55,4432541.92,1488,29614.69922,38581.69922,1.7357,0,6549.899902,0,0,7.8326302
7,0,12158355.55,4432541.92,1488,29610.19922,38574.80078,3.9909101,0.222222,6551.620117,0.0860656,-0.136157,10.1819
8,0,12158385.55,4432541.92,1487,29605.80078,38568,354.1740112,-0.444444,6553.470215,-0.327778,0.116667,11.5976
9,0,12158415.55,4432541.92,1489,29601.40039,38561.19922,345.651001,0.111111,6555.459961,0.0130719,-0.0980392,10.4777002
10,0,12158445.55,4432541.92,1490,29597,38554.39844,344.0549927,0,6557.589844,-0.133333,-0.133333,6.91817
11,0,12158475.55,4432541.92,1491,29592.59961,38547.69922,351.0270081,0.111111,6559.850098,0.0915033,-0.0196078,4.5823102
12,0,12158505.55,4432541.92,1491,29588.30078,38540.89844,5.1944299,0.111111,6562.259766,0,-0.111111,5.2589502
13,0,12158535.55,4432541.92,1491,29584,38534.19922,14.0361996,0.444444,6564.790039,0.143791,-0.300654,7.8255301
14,0,12158565.55,4432541.92,1489,29579.69922,38527.5,11.8214998,0,6567.470215,-0.166239,-0.166239,10.3731003
15,0,12158595.55,4432541.92,1488,29575.5,38520.89844,1.16914,-0.222222,6570.27002,-0.115359,0.106863,11.5416002
16,0,12158625.55,4432541.92,1488,29571.19922,38514.19922,354.401001,-0.333333,6573.220215,-0.10728,0.226054,12.0527
17,0,12158655.55,4432541.92,1489,29567.09961,38507.60156,352.4760132,-0.222222,6576.299805,0.0033333,0.225556,12.5577002
18,0,12158685.55,4432541.92,1490,29562.90039,38501,356.8779907,0,6579.509766,0.114052,0.114052,12.9259996
19,0,12158715.55,4432541.92,1490,29558.80078,38494.10156,5.3893099,0,6577.120117,0.12119,0.12119,12.5065002
20,0,12158745.55,4432541.92,1489,29554.69922,38487.19922,1.39718,-0.333333,6549.899902,-0.379538,-0.0462046,9.6972704
21,0,12158775.55,4432541.92,1491,29550.59961,38480.39844,10.4914999,1,6522.709961,0.597598,-0.402402,6.5269899
22,0,12158805.55,4432541.92,1488,29546.59961,38473.5,30.9638004,-0.111111,6495.540039,-0.0379404,0.0731707,5.5507202
23,0,12158835.55,4432541.92,1487,29542.59961,38466.80078,20.2248993,0,6468.390137,-0.0222222,-0.0222222,4.8225398
24,0,12158865.55,4432541.92,1486,29538.59961,38460,18.4349003,0,6441.27002,-0.0166667,-0.0166667,5.26966
