FID,Id,X,Y,DEM,WaterSys_Dis,Faults_Dis
0,0,12139137.839400000870228,4348675.270770000293851,1295.090909090909008,3079.651257324218932,124813.101917613632395
1,0,12139292.549699999392033,4348677.857579999603331,1294.681818181818244,3143.250769042968841,124780.266015625005821
2,0,12139447.260099999606609,4348680.442540000192821,1294.450000000000045,3221.651983351934632,124746.444140624997090
3,0,12139601.970799999311566,4348683.025670000351965,1296.400000000000091,3316.023437500000000,124712.764843750002910
4,0,12139756.681600000709295,4348685.606959999538958,1297.549999999999955,3418.807983398437500,124679.057812500002910
5,0,12139911.392500000074506,4348688.186400000005960,1295.299999999999955,3516.777795410156159,124646.379836309526581
6,0,12140066.103700000792742,4348690.764010000042617,1293.799999999999955,3618.315246582031250,124605.602241847824189
7,0,12140220.814999999478459,4348693.339770000427961,1298.291666666666742,3723.007934570312500,124571.070312500000000
8,0,12140375.526599999517202,4348695.913700000382960,1295.950000000000045,3829.892224121093932,124537.343750000000000
9,0,12140530.238299999386072,4348698.485779999755323,1298.200000000000045,3950.500325520833485,124503.789062500000000
10,0,12140684.950099999085069,4348701.056020000018179,1299.700000000000045,4074.130151367187409,124445.271205357144936
11,0,12140839.662200000137091,4348703.624429999850690,1301.200000000000045,4189.035815429687318,124407.935156249994179
12,0,12140994.374399999156594,4348706.190990000031888,1300.349999999999909,4306.101123046874818,124371.596679687500000
13,0,12141149.086799999698997,4348708.755719999782741,1305.875000000000000,4407.220190429687136,124335.033203125000000
14,0,12141303.799399999901652,4348711.318599999882281,1307.349999999999909,4528.584399414062318,124301.260546874997090
15,0,12141458.512199999764562,4348713.879639999940991,1308.549999999999955,4659.908025568181984,124267.497265625002910
16,0,12141613.225099999457598,4348716.438849999569356,1311.500000000000000,4792.939275568181984,124233.862109374997090
17,0,12141767.938200000673532,4348718.996209999546409,1319.349999999999909,4927.559374999999818,124200.048437499994179
18,0,12141922.651499999687076,4348721.551730000413954,1323.750000000000000,5055.129248046874636,124167.155894886367605
19,0,12142077.365000000223517,4348724.105410000309348,1317.909090909090992,5183.900317382812318,124125.091619318176527
20,0,12142232.078700000420213,4348726.657250000163913,1322.869565217391255,5311.655444335937318,124092.099218749994179
21,0,12142386.792500000447035,4348729.207259999588132,1316.599999999999909,5437.839820498511472,124052.608593750002910
22,0,12142541.506500000134110,4348731.755420000292361,1311.299999999999955,5567.619628906250000,123995.458984375000000
23,0,12142696.220699999481440,4348734.301740000024438,1321.200000000000045,5700.769287109375000,123961.685546875000000
24,0,12142850.935000000521541,4348736.846219999715686,1324.650000000000091,5820.592285156250000,123928.051562499997090
25,0,12143005.649599999189377,4348739.388860000297427,1328.150000000000091,5933.156860351562500,123890.866536458328483
26,0,12143160.364299999549985,4348741.929659999907017,1326.625000000000000,6059.607397460937136,123853.790234375002910
27,0,12143315.079199999570847,4348744.468620000407100,1336.250000000000000,6187.110278320312318,123820.106640625002910
28,0,12143469.794199999421835,4348747.005739999935031,1329.849999999999909,6328.519958496093750,123786.290234375002910
29,0,12143624.509500000625849,4348749.541020000353456,1333.049999999999955,6471.013647460937136,123752.638671875000000
30,0,12143779.224899999797344,4348752.074459999799728,1336.450000000000045,6601.477978515625182,123718.884374999994179
31,0,12143933.940500000491738,4348754.606049999594688,1331.250000000000000,6732.756103515625000,123681.742838541671517
32,0,12144088.656199999153614,4348757.135809999890625,1330.043478260869506,6864.801440429687318,123644.730859375005821
33,0,12144243.372199999168515,4348759.663730000145733,1326.285714285714221,6997.570532226562136,123596.291666666671517
34,0,12144398.088300000876188,4348762.189810000360012,1326.950000000000045,7139.547962535511033,123547.974218749994179
35,0,12144552.804600000381470,4348764.714039999991655,1334.450000000000045,7283.308038884943016,123514.302343749994179
36,0,12144707.520999999716878,4348767.236440000124276,1326.349999999999909,7419.596563430059177,123480.482031249994179
37,0,12144862.237700000405312,4348769.757000000216067,1336.599999999999909,7548.004711914062682,123447.953497023816453
38,0,12145016.954500000923872,4348772.275709999725223,1336.809523809523853,7683.610522460937318,123407.366168478256441
